r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.102	1.000	0	0	0
0.102	0.885	0	0	0
0.102	0.776	0	0	0
0.102	0.676	0	0	0
0.102	0.553	0	0	0
0.102	0.444	0	0	0
0.102	0.335	0	0	0
0.102	0.226	0	0	0
0.102	0.117	0	0	0
0.102	0.000	0	0	0
0.102	-0.113	0	0	0
0.102	-0.223	0	0	0
0.102	-0.327	0	0	0
0.102	-0.440	0	0	0
0.102	-0.550	0	0	0
0.102	-0.673	0	0	0
0.102	-0.773	0	0	0
0.102	-0.884	0	0	0
0.102	-1.000	0	0	0
0.220	-1.000	0	0	0
0.590	-0.880	0	0	0
0.590	-0.796	0	0	0
0.590	-0.645	0	0	0
0.590	-0.526	0	0	0
0.590	-0.415	0	0	0
0.590	-0.285	0	0	0
0.687	-0.285	0	0	0
0.687	0.285	0	0	0
0.590	0.285	0	0	0
0.590	0.415	0	0	0
0.590	0.525	0	0	0
0.590	0.643	0	0	0
0.590	0.795	0	0	0
0.590	0.880	0	0	0
0.220	1.000	0	0	0
0.680	0.226	0	0	0
0.680	0.117	0	0	0
0.680	0.000	0	0	0
0.680	-0.113	0	0	0
0.680	-0.223	0	0	0
