r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.11	-0.997865	0	0	0
0.11	-0.88044	0	0	0
0.11	-0.7697	0	0	0
0.11	-0.67191	0	0	0
0.11	-0.54804	0	0	0
0.11	-0.43699	0	0	0
0.11	-0.33224	0	0	0
0.11	-0.22184	0	0	0
0.11	-0.11097	0	0	0
0.11	0	0	0	0
0.11	0.11097	0	0	0
0.11	0.22184	0	0	0
0.11	0.33224	0	0	0
0.11	0.43699	0	0	0
0.11	0.54804	0	0	0
0.11	0.67191	0	0	0
0.11	0.7697	0	0	0
0.11	0.88044	0	0	0
0.11	0.997865	0	0	0
0.22539	0.999365	0	0	0
0.59	0.87694	0	0	0
0.59	0.74658	0	0	0
0.59	0.63813	0	0	0
0.59	0.51966	0	0	0
0.59	0.36641	0	0	0
0.78	0.35	0	0	0
0.59	0.283	0	0	0
0.59	-0.283	0	0	0
0.78	-0.35	0	0	0
0.59	-0.36641	0	0	0
0.59	-0.51966	0	0	0
0.59	-0.63813	0	0	0
0.59	-0.74658	0	0	0
0.59	-0.87694	0	0	0
0.22539	-0.999365	0	0	0
