r[m]	z[m]	psi[T]	Bz[T]	Br[T]
0.11	0.00	0.00	0.00	0.00
0.11	0.05	0.00	0.00	0.00
0.11	0.10	0.00	0.00	0.00
0.11	0.15	0.00	0.00	0.00
0.11	0.20	0.00	0.00	0.00
0.11	0.25	0.00	0.00	0.00
0.11	0.30	0.00	0.00	0.00
0.11	0.35	0.00	0.00	0.00
0.11	0.40	0.00	0.00	0.00
0.11	0.45	0.00	0.00	0.00
0.11	0.50	0.00	0.00	0.00
0.11	0.55	0.00	0.00	0.00
0.11	0.60	0.00	0.00	0.00
0.11	0.65	0.00	0.00	0.00
0.11	0.70	0.00	0.00	0.00
0.11	0.75	0.00	0.00	0.00
0.11	0.80	0.00	0.00	0.00
0.11	0.85	0.00	0.00	0.00
0.11	0.90	0.00	0.00	0.00
0.11	0.95	0.00	0.00	0.00
0.11	0.99	0.00	0.00	0.00
0.59	0.99	0.00	0.00	0.00
0.59	0.95	0.00	0.00	0.00
0.59	0.90	0.00	0.00	0.00
0.59	0.85	0.00	0.00	0.00
0.59	0.80	0.00	0.00	0.00
0.59	0.75	0.00	0.00	0.00
0.59	0.70	0.00	0.00	0.00
0.59	0.65	0.00	0.00	0.00
0.59	0.60	0.00	0.00	0.00
0.59	0.55	0.00	0.00	0.00
0.59	0.50	0.00	0.00	0.00
0.59	0.45	0.00	0.00	0.00
0.59	0.40	0.00	0.00	0.00
0.59	0.35	0.00	0.00	0.00
0.59	0.30	0.00	0.00	0.00
0.62	0.28	0.00	0.00	0.00
0.65	0.28	0.00	0.00	0.00
0.68	0.28	0.00	0.00	0.00
0.68	0.25	0.00	0.00	0.00
0.68	0.20	0.00	0.00	0.00
0.68	0.15	0.00	0.00	0.00
0.68	0.10	0.00	0.00	0.00
0.68	0.05	0.00	0.00	0.00
0.68	0.00	0.00	0.00	0.00
